Timestamp,link_21_mean,link_21_std,link_21_median,link_21_min,link_21_max,label,link_21_forecast,difference
2017-01-01 00:00:00,163.20000000000002,32.73163607276606,160.2,126.0,205.2,0.0,0.0,0.0
2017-01-01 03:00:00,175.79999999999998,41.82305584244174,174.6,122.4,234.0,0.0,160.86381059001795,14.936189409982035
2017-01-01 06:00:00,358.8,61.96463507517816,363.6,262.8,424.8,0.0,172.8083808569139,185.9916191430861
2017-01-01 09:00:00,462.6,15.567658783516558,462.6,446.4,478.8,0.0,344.3398979140926,118.26010208590742
2017-01-01 12:00:00,390.6,30.61058640405312,394.2,345.6,424.8,0.0,440.89752073674225,50.29752073674223
2017-01-01 15:00:00,336.6,17.599545448675663,342.0,302.4,349.2,0.0,373.05222629713353,36.45222629713351
2017-01-01 18:00:00,381.0,20.794999398893985,387.0,352.8,399.6,0.0,322.2756992607834,58.724300739216574
2017-01-01 21:00:00,324.6,56.02213848113978,333.0,248.4,396.0,0.0,362.68917950726336,38.08917950726334
2017-01-02 00:00:00,171.6,37.11086094393391,160.2,133.2,234.0,0.0,309.95207913868586,138.35207913868587
2017-01-02 03:00:00,178.20000000000002,44.77624370132001,169.2,126.0,252.0,0.0,175.06610917163673,3.133890828363292
2017-01-02 06:00:00,341.40000000000003,49.64433502425029,329.4,277.2,417.6,0.0,264.17744050673093,77.2225594932691
2017-01-02 09:00:00,432.6,20.54419626074477,435.6,396.0,457.2,0.0,385.9193326265345,46.680667373465496
2017-01-02 12:00:00,372.0,36.54783167302817,381.6,313.2,410.4,0.0,390.2764642706638,18.27646427066378
2017-01-02 15:00:00,357.0,12.348927078900422,352.8,342.0,378.0,0.0,339.4876495461352,17.512350453864826
2017-01-02 18:00:00,398.4,20.322204604815887,401.4,367.2,424.8,0.0,371.6515453302879,26.74845466971209
2017-01-02 21:00:00,327.6,49.51799672846227,329.4,255.6,381.6,0.0,363.37869900970213,35.77869900970211
2017-01-03 00:00:00,170.4,36.40571383725364,160.2,133.2,230.4,0.0,247.70068452877302,77.30068452877302
2017-01-03 03:00:00,189.0,43.24497658688232,185.4,136.8,252.0,0.0,172.81553683681156,16.18446316318844
2017-01-03 06:00:00,361.8,59.926755293441296,354.6,273.6,446.4,0.0,283.5967449646011,78.20325503539891
2017-01-03 09:00:00,439.8,17.697457444503172,446.4,410.4,460.8,0.0,410.66971891312164,29.13028108687837
2017-01-03 12:00:00,398.4,30.17707739327981,399.6,352.8,432.0,0.0,396.00211796651143,2.3978820334885427
2017-01-03 15:00:00,370.8,13.469966592386172,369.0,356.4,392.4,0.0,376.13650173169054,5.336501731690532
2017-01-03 18:00:00,397.8,22.04540768504862,390.6,374.4,424.8,0.0,389.0210203733598,8.778979626640194
2017-01-03 21:00:00,328.8,53.76749947691447,343.8,259.2,385.2,0.0,353.3059627284962,24.505962728496172
2017-01-04 00:00:00,170.4,38.14414765072093,160.2,133.2,234.0,0.0,233.92647814990005,63.52647814990004
2017-01-04 03:00:00,190.8,49.88306325798367,185.4,136.8,262.8,0.0,176.4011693257539,14.398830674246113
2017-01-04 06:00:00,363.6,55.49140473983334,376.2000000000001,291.6,417.6,0.0,280.73675300457614,82.86324699542388
2017-01-04 09:00:00,421.8,21.287742952224868,415.8,406.8,464.4,0.0,401.7029660704539,20.097033929546114
2017-01-04 12:00:00,366.0,18.729228494521585,369.0,334.8,385.2,0.0,390.4177725598087,24.417772559808725
2017-01-04 15:00:00,356.40000000000003,17.189764396291185,356.4,338.4,374.4,0.0,349.70756329342737,6.692436706572664
2017-01-04 18:00:00,389.4,14.828620974318564,385.2,374.4,406.8,0.0,367.8340821229175,21.565917877082484
2017-01-04 21:00:00,333.0,38.75647042752991,342.0,273.6,374.4,0.0,344.292810914468,11.29281091446802
2017-01-05 00:00:00,177.0,31.08671742078924,172.8,147.6,230.4,0.0,240.4495690569589,63.44956905695889
2017-01-05 03:00:00,204.6,55.27690295231816,190.8,147.6,291.6,0.0,186.91571891965506,17.68428108034493
2017-01-05 06:00:00,415.8,52.84770572125148,423.0,334.8,482.4,0.0,304.81506161619427,110.98493838380574
2017-01-05 09:00:00,490.8,32.25299986047809,489.6,457.2,540.0,0.0,446.87545969538314,43.92454030461687
2017-01-05 12:00:00,405.0,35.32772282499963,396.0,356.4,446.4,0.0,450.9251217283064,45.92512172830641
2017-01-05 15:00:00,370.8,9.924515101504957,370.8,356.4,381.6,0.0,386.24687962444955,15.446879624449537
2017-01-05 18:00:00,394.8,11.076461528845766,397.8,378.0,406.8,0.0,383.468302528516,11.331697471484006
2017-01-05 21:00:00,320.4,41.42347160729047,325.79999999999995,255.6,370.8,0.0,354.7163740118106,34.31637401181064
2017-01-06 00:00:00,202.8,36.75997823720791,207.0,158.4,255.6,0.0,224.4300481658949,21.63004816589489
2017-01-06 03:00:00,164.4,15.883576423463325,163.8,144.0,187.2,0.0,213.89120833439864,49.491208334398635
2017-01-06 06:00:00,301.2,53.52591895521275,297.0,234.0,381.6,0.0,283.99790433060303,17.202095669396954
2017-01-06 09:00:00,407.4,12.761818052299608,408.6,392.4,428.4,0.0,343.9921621448584,63.407837855141565
2017-01-06 12:00:00,396.6,17.40206884252558,392.4,381.6,428.4,0.0,354.42949815982007,42.17050184017995
